EntryID,LemmaID,Code,Batch,List,Item,YouTube Video,VimeoVideoHTML,VimeoVideo,SubtLexUSLog10WF,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFrequency(N-Nonnative),SignFreq(Z-Nonnative),DominantTranslation,NondominantTranslation,PercentUnknown,PercentGlossAgreement,PercentUnknown(Native),PercentGlossAgreement(Native),PercentUnknown(Nonnative),PercentGlossAgreement(Nonnative),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,IconicityType,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(Z) native,D.Iconicity(N) native,H statistic,GuessAccuracy,Transparency(M),Transparency SD,Transparency Z,LexicalClass,SignOnset(ms),SignOffset(ms),SignDuration(ms),ClipDuration(ms),InCDI,CDI Semantic Category,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Phonological Complexity,PhonotacticProbability,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankReferenceID,bglm_aoa,empirical_aoa,HandshapeImage - 100x100,HandshapeImage: URL,Parameter.Neighborhood.Density.2.0,SignBankSemanticField
1_dollar,1_dollar,C_02_025,C,2,25,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TDfhj5BLyqQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345587917?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345587917,,3.034,1.5,-0.728,29,2.944,1.474,-0.843,18,3.182,1.601,12,-0.541,,,0,,0,,0.083,,1.074,0.267,-0.82,27,,Arbitrary,2.1,1.45,30,-0.42,2.29,1.49,-0.37,21,,,,,,Noun,467,1101,634,1668,No,,0,0,0,1,c,imrp,Curved,1,0,,Open,0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerBack,HandAway,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.019,0.155,0.457,0.449,0.225,0.209,0.446,0.622,0.602,0,0.684,0.657,0.836,2,-0.02,383,0,DOLLAR,"bill, cash, dollar, money",1_DOLLAR,1268,,,,,383,None
5_dollars,5_dollars,B_01_062,B,1,62,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ys0QCfNZWZc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344399314?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344399314,,5.12,1.716,0.302,25,5.214,1.847,0.36,14,5,1.612,11,0.228,,,0,,0,,0,,5.481,1.503,1.308,27,,Perceptual,3.1,1.4,31,0.09,2.91,1.31,0.04,22,2.16,0.263,4.32,1.49,0.17,Noun,434,767,334,1468,No,,1,0,0,1,5,imrp,FullyOpen,0,1,0,Open,0,OneHanded,None,0,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153,0.449,0.409,0.791,0.554,0.378,0.398,0.878,0.684,0.657,0.164,1,0.281,190,4,FIVE-DOLLARS,"dollar, five dollars, money",5_DOLLAR,2436,,,,,190,Number
8_hour,8_hour,C_02_055,C,2,55,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/89tWpIF7QGc?rel=0&controls=0&showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=""https://player.vimeo.com/video/345588916?title=0&byline=0&portrait=0"" width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345588916,,4.267,1.574,-0.025,30,4.444,1.723,-0.031,18,4,1.348,12,-0.017,,,0,,0,,0,,2.654,1.623,-0.101,26,,Arbitrary,2.53,1.85,30,-0.19,2.52,1.78,-0.27,21,2.8,0,2.84,1.57,-0.69,Number,501,1235,734,2035,No,,1,0,0,1,8,m,Curved,0,NA,NA,Open,1,AsymmetricalDifferentHandshape,Circular,0,Hand,FingerFront,Palm,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.015,0.025,0.076,0.045,0.225,0.791,0.554,0.622,0,0,0.316,0.657,0.836,4,-0.396,129,0,EIGHT-HOURSneut,"eight hours, 8 hours, hour, time",NUMBER-HOURS,2437,,,,,129,Number
9_oclock,9_oclock,C_02_080,C,2,80,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7M4uTw57xCY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345589804?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345589804,,4.133,1.592,-0.122,30,4.778,1.478,0.129,18,3.167,1.267,12,-0.497,,,0,,0,,0,,2.741,1.43,0.034,27,,Arbitrary,3.23,2.03,30,0.14,3.24,2.17,0.06,21,1.69,0.4,3.8,1.99,0.3,Number,534,1268,734,2135,No,,1,0,1,2,flat_1,i,Flat,0,NA,NA,Closed,0,OneHanded,Straight,0,Arm,WristBack,NA,1,NA,0,f,i,Curved,0,NA,NA,Open,1,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.026,0.004,0,0.457,0.261,0.162,0.791,0.554,0.622,0,0,0.684,0.343,0.836,1,-0.252,48,4,OCLOCK-NINE,"9:00, 9 o'clock, nine o'clock, o'clock, time",OCLOCK-NUMBER,2857,,,,,48,None
a-line_bob,a-line_bob,K_03_127,K,,,,"<iframe src=https://player.vimeo.com/video/342308099?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342308099,,4.273,1.804,0.03,25,4.5,1.069,0.349,11,4.143,2.143,14,-0.152,,,0.12,,0.273,,0,,3.769,1.925,-0.047,26,BOB HAIRCUT,,,,,,,,,,,,,,,Noun,634,1301,667,1935,No,,0,0,0,1,flat_b,imrp,Flat,0,0,0,Open,0,SymmetricalOrAlternating,Curved,0,Head,HeadAway,HeadAway,0,flat_b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.266,0.066,0.178,0.233,0.449,0.162,0.791,0.554,0.378,0.602,0.878,0.684,0.657,0.164,2,0.089,158,4,,,,,,,,,158,
a_little_bit,a_little_bit,H_03_025,H,3,25,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6aQFBPeVSpc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346887448?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346887448,,2.963,2.028,-0.762,28,3,2.309,-0.731,14,2.929,1.817,14,-0.79,,,0.036,,0.071,,0,,2.833,1.659,-0.195,24,a little bit,Arbitrary,,,,,,,,,,,,,,Adjective,434,1101,667,1568,No,,0,0,0,1,bent_1,t,NA,1,NA,NA,Closed,NA,OneHanded,None,1,Neutral,Neutral,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153,0.057,0,0.209,0.446,0.378,0,0,0,0.343,0.836,2,-0.758,144,3,A-LITTLE-BIT,"a little bit, little, few, minimal, scarce",A-LITTLE-BIT,0,,,,,144,Attribute
abbreviate,abbreviate,G_01_040,G,1,40,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_wkE95JCdTQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346610443?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346610443,0.301,5.444,1.528,0.669,27,5.25,1.545,0.566,12,5.6,1.549,15,0.751,short,"brief, knife, sharp",0,0.63,0,0.75,0,0.533,1.889,1.219,-0.764,27,,Arbitrary,,,,,,,,,,,,,,Verb,467,1068,601,1802,No,,0,0,0,1,h,im,FullyOpen,0,0,0,Closed,0,DominanceViolation,Straight,0,Hand,FingerRadial,HandAway,1,DominanceViolation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.25,0.035,0.155,0.457,0.14,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.164,2,-0.065,368,1,SHORT,"brief, for a short time, quick, short, shortly",SHORT,252,,,,,368,Attribute
about_1,about,B_02_072,B,2,72,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/3DE8PSJzl7A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345555837?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345555837,5.268,5.48,1.475,0.523,25,5.5,1.787,0.518,14,5.455,1.036,11,0.529,,,0,,0,,0,,2.067,1.484,-0.324,30,,Arbitrary,1.36,0.8,31,-0.81,1.36,0.85,-0.77,22,2.77,0,3.68,1.46,-0.15,Minor,367,1068,701,1869,No,,0,0,0,1,1,i,FullyOpen,0,NA,NA,Closed,0,AsymmetricalSameHandshape,Circular,0,Hand,HandAway,FingerTip,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.25,0.035,0.006,0.076,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.164,2,-0.49,129,2,ABOUTix,"about, regarding, with reference to",ABOUT,2043,,,,,129,Locative
about_2,about,B_02_003,B,2,3,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6ZSNX5aiJDs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345536316?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345536316,5.268,3.522,1.534,-0.762,23,3.417,1.564,-0.794,12,3.636,1.567,11,-0.728,,,0.08,,0.143,,0,,2.133,1.279,-0.309,30,,Arbitrary,1.9,1.27,31,-0.55,1.86,1.15,-0.56,22,2.87,0,3.68,1.8,-0.09,Minor,567,1502,934,2269,Yes,Prepositions and Locations,0,0,0,1,1,i,FullyOpen,0,NA,NA,Closed,0,AsymmetricalDifferentHandshape,Circular,0,Hand,HandAway,FingerTip,1,O,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.035,0.006,0.076,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.164,3,-0.421,129,0,ABOUTb,"about, regarding, with reference to",ABOUT,2042,61,35,,,129,Locative
absolutely_nothing,absolutely_nothing,J_01_027,J,1,27,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/VKxPTJe9KDk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346914407?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346914407,,2.957,1.821,-0.686,30,2.833,1.946,-0.906,15,3.091,1.758,15,-0.445,none,"none, blow, don't have, zero, nothing, whistle",0.233,0.409,0.2,0.455,0.267,0.364,1.5,1.142,-0.743,24,absolutely nothing,Arbitrary,,,,,,,,,,,,,,Number,534,1001,467,1502,No,,1,0,0,1,flat_o,imrp,Flat,0,0,0,Open,1,OneHanded,None,0,Head,Mouth,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.046,0,0.153,0.449,0.162,0.791,0.554,0.622,0.602,0.878,0.316,0.657,0.836,1,0.211,232,3,ABSOLUTELY-NOTHING,"absolutely nothing, all out, depleted, empty, none, nothing, zilch",ABSOLUTELY-NOTHING,2044,,,,,232,Attribute
