"EntryID","LemmaID","Code","YouTube Video","SignFrequency(M)","SignFrequency(SD)","SignFrequency(Z)","SignFrequency(N)","PercentUnknown","SignFrequency(M-Native)","SignFrequency(SD-Native)","SignFreq(Z-native)","SignFrequency(N-Native)","PercentUnknown(Native)","PercentGlossAgreement","PercentGlossAgreement(Native)","Iconicity(M)","Iconicity(SD)","Iconicity(Z)","Iconicity(N)","Iconicity_ID","SubtLexUSLog10WF","LexicalClass","SignOnset(ms)","SignOffset(ms)","SignLength(ms)","ClipLength(ms)","D.Iconicity(M) all","D.Iconicity(SD) all","D.Iconicity(N) all","D.Iconicity(Z) all","D.Iconicity(M) native","D.Iconicity(SD) native","D.Iconicity(N) native","D.Iconicity(Z) native","IconicityType","Initialized.2.0","FingerspelledLoanSign.2.0","Compound.2.0","NumberOfMorphemes.2.0","Handshape.2.0","MarkedHandshape.2.0","SelectedFingers.2.0","Flexion.2.0","FlexionChange.2.0","Spread.2.0","SpreadChange.2.0","ThumbPosition.2.0","ThumbContact.2.0","SignType.2.0","Movement.2.0","MajorLocation.2.0","MinorLocation.2.0","SecondMinorLocation.2.0","Contact.2.0","NonDominantHandshape.2.0","UlnarRotation.2.0","HandshapeM2.2.0","MarkedHandshapeM2.2.0","SelectedFingersM2.2.0","FlexionM2.2.0","FlexionChangeM2.2.0","SpreadM2.2.0","SpreadChangeM2.2.0","ThumbPositionM2.2.0","ThumbContactM2.2.0","SignTypeM2.2.0","MovementM2.2.0","MajorLocationM2.2.0","MinorLocationM2.2.0","SecondMinorLocationM2.2.0","ContactM2.2.0","NonDominantHandshapeM2.2.0","UlnarRotationM2.2.0","HandshapeM3.2.0","MarkedHandshapeM3.2.0","SelectedFingersM3.2.0","FlexionM3.2.0","FlexionChangeM3.2.0","SpreadM3.2.0","SpreadChangeM3.2.0","ThumbPositionM3.2.0","ThumbContactM3.2.0","SignTypeM3.2.0","MovementM3.2.0","MajorLocationM3.2.0","MinorLocationM3.2.0","SecondMinorLocationM3.2.0","ContactM3.2.0","NonDominantHandshapeM3.2.0","UlnarRotationM3.2.0","HandshapeM4.2.0","MarkedHandshapeM4.2.0","SelectedFingersM4.2.0","FlexionM4.2.0","FlexionChangeM4.2.0","SpreadM4.2.0","SpreadChangeM4.2.0","ThumbPositionM4.2.0","ThumbContactM4.2.0","SignTypeM4.2.0","MovementM4.2.0","MajorLocationM4.2.0","MinorLocationM4.2.0","SecondMinorLocationM4.2.0","ContactM4.2.0","NonDominantHandshapeM4.2.0","UlnarRotationM4.2.0","HandshapeM5.2.0","MarkedHandshapeM5.2.0","SelectedFingersM5.2.0","FlexionM5.2.0","FlexionChangeM5.2.0","SpreadM5.2.0","SpreadChangeM5.2.0","ThumbPositionM5.2.0","ThumbContactM5.2.0","SignTypeM5.2.0","MovementM5.2.0","MajorLocationM5.2.0","MinorLocationM5.2.0","SecondMinorLocationM5.2.0","ContactM5.2.0","NonDominantHandshapeM5.2.0","UlnarRotationM5.2.0","HandshapeM6.2.0","MarkedHandshapeM6.2.0","SelectedFingersM6.2.0","FlexionM6.2.0","FlexionChangeM6.2.0","SpreadM6.2.0","SpreadChangeM6.2.0","ThumbPositionM6.2.0","ThumbContactM6.2.0","SignTypeM6.2.0","MovementM6.2.0","MajorLocationM6.2.0","MinorLocationM6.2.0","SecondMinorLocationM6.2.0","ContactM6.2.0","NonDominantHandshapeM6.2.0","UlnarRotationM6.2.0","bglm_aoa","empirical_aoa","SignType.2.0Frequency","MajorLocation.2.0Frequency","MinorLocation.2.0Frequency","SecondMinorLocation.2.0Frequency","Movement.2.0Frequency","SelectedFingers.2.0Frequency","Flexion.2.0Frequency","FlexionChange.2.0Frequency","RepeatedMovement.2.0Frequency","Contact.2.0Frequency","Spread.2.0Frequency","SpreadChange.2.0Frequency","ThumbContact.2.0Frequency","ThumbPosition.2.0Frequency","UlnarRotation.2.0Frequency","Transparency M","Transparency SD","Transparency Z","H index","SignBankID","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","Parameter.Neighborhood.Density.2.0","Neighborhood Density 2.0","DominantTranslation","SignBankID","SignBankReferenceID","SignBankLemmaID","SignBankAnnotationID","SignBankSemanticField","SignBankEnglishTranslations","Complexity"
"&=arms-cross","&=arms-cross","J_01_098","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ZqtSZRrXLo4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.467","2.177","-0.458","30","0","3.400","2.293","-0.511","15","0.00","","","6.583","0.929","1.600","24","crossing arms","","Gesture","501.00","1702.00","1201.00","2269.00","","","","","","","","","Pantomimic","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","&=arms-cross","0","2","0","2","","&=arms-cross","1961","&=arms-cross","","None","action, arms crossed, stern look, what, what happened?, what'd you do?, you're in trouble","4"
"&=raise-hand","&=raise-hand","H_02_048","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/I5sthVd38zs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen=""""></iframe>","5.154","1.891","0.544","28","0","5.500","1.446","0.836","14","0.14","","","","","","","raising a hand","","Gesture","234.00","1335.00","1101.00","1869.00","","","","","","","","","Pantomimic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","&=raise-hand","0","2","0","2","","&=raise-hand","1954","&=raise-hand","","None","action, I have a question, me, raise hand, volunteer","2"
"&=sigh","&=sigh","H_03_086","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/lWzdB9l3UTY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.931","1.751","-0.196","30","0","3.267","1.624","-0.614","15","0.00","0","0","6.375","1.439","1.427","24","sighing","","Gesture","400.00","1735.00","1335.00","2536.00","","","","","","","","","Pantomimic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","&=sigh","0","2","0","2","","&=sigh","1957","&=sigh","","None","action, exasperated, I didn't mean that, I give up, oops, no not that, sigh, uh-oh, wrong","2"
"1_dollar","1_dollar","C_02_025","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TDfhj5BLyqQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","3.034","1.500","-0.775","29","0","2.944","1.474","-0.922","18","0.00","","","1.074","2.025","-0.820","27","","","Noun","467.00","1101.00","634.00","1668.00","2.10","1.45","30","-0.42","2.29","1.49","21","-0.37","Arbitrary","0","0","0","1","c","0","imrp","Curved","1","0","","Open","0","AsymmetricalDifferentHandshape","Straight","Hand","FingerBack","HandAway","1","B","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.175","0.250","0.019","0.155","0.457","0.449","0.225","0.209","0.446","0.622","0.602","0.000","0.684","0.657","0.836","","","","","DOLLAR","383","0","383","0","","DOLLAR","1268","1_DOLLAR","DOLLAR","None","bill, cash, dollar, money","2"
"5_dollars","5_dollars","B_01_062","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ys0QCfNZWZc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","5.120","1.716","0.302","25","0","5.214","1.847","0.360","14","0.00","","","5.481","2.016","1.308","27","","","Noun","434.00","767.00","334.00","1468.00","3.10","1.40","31","0.09","2.91","1.31","22","0.04","Perceptual","1","0","0","1","5","0","imrp","FullyOpen","0","1","0","Open","0","OneHanded","None","Neutral","Neutral","NA","0","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.363","0.363","0.000","0.153","0.449","0.409","0.791","0.554","0.378","0.398","0.878","0.684","0.657","0.164","4","1","0","-0.20","FIVE-DOLLARS","190","4","190","4","","FIVE-DOLLARS","2436","5_DOLLAR","FIVE-DOLLARS","Number","dollar, five dollars, money","1"
"8_hour","8_hour","C_02_055","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/89tWpIF7QGc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.267","1.574","-0.043","30","0","4.444","1.723","-0.041","18","0.00","","","2.654","2.025","-0.101","26","","","Number","501.00","1235.00","734.00","2035.00","2.53","1.85","30","-0.19","2.52","1.78","21","-0.27","Arbitrary","1","0","0","1","1","0","m","Curved","0","NA","NA","Open","1","AsymmetricalDifferentHandshape","Circular","Hand","FingerFront","Palm","1","B","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.175","0.250","0.015","0.025","0.076","0.045","0.225","0.791","0.554","0.622","0.000","0.000","0.316","0.657","0.836","3","2","-1","-0.16","EIGHT-HOURSneut","129","0","129","0","","EIGHT-HOURSneut","","","","","","4"
"9_oclock","9_oclock","C_02_080","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7M4uTw57xCY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","4.133","1.592","-0.126","30","0","4.778","1.478","0.139","18","0.00","","","2.741","2.025","0.034","27","","","Number","534.00","1268.00","734.00","2135.00","3.23","2.03","30","0.14","3.24","2.17","21","0.06","Arbitrary","1","0","1","2","flat_1","0","i","Flat","0","NA","NA","Closed","0","OneHanded","Straight","Arm","WristBack","NA","1","NA","0","f","1","i","Curved","0","NA","NA","Open","1","OneHanded","Straight","Neutral","Neutral","Neutral","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.026","0.004","0.000","0.457","0.261","0.162","0.791","0.554","0.622","0.000","0.000","0.684","0.343","0.836","4","2","0","-0.21","OCLOCK-NINE","48","4","48","4","","OCLOCK-NINE","2857","OCLOCK-NUMBER","OCLOCK-NINE","None","9:00, 9 o'clock, nine o'clock, o'clock, time","1"
"a-line_bob","a-line_bob","K_03_127","","4.273","1.804","-0.198","25","0","4.500","1.069","-0.255","11","0.27","","","3.769","1.925","-0.136","26","BOB HAIRCUT","","Noun","634.00","1301.00","667.00","1935.00","","","","","","","","","","0","0","0","1","flat_b","1","imrp","Flat","0","0","0","Open","0","SymmetricalOrAlternating","Curved","Head","HeadAway","HeadAway","0","flat_b","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.345","0.266","0.066","0.178","0.233","0.449","0.162","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.164","","","","","","158","4","158","4","","","","","","","","2"
"a_little_bit","a_little_bit","H_03_025","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6aQFBPeVSpc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","2.963","2.028","-0.762","28","0","3.000","2.309","-0.731","14","0.07","","","2.833","1.659","-0.236","24","a little bit","","Adjective","434.00","1101.00","667.00","1568.00","","","","","","","","","Arbitrary","0","0","0","1","bent_1","1","t","NA","1","NA","NA","Closed","NA","OneHanded","None","Neutral","Neutral","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.392","0.363","0.363","0.000","0.153","0.057","0.000","0.209","0.446","0.378","0.000","0.000","0.000","0.343","0.836","","","","","A-LITTLE-BIT","144","3","144","3","","A-LITTLE-BIT","0","A-LITTLE-BIT","","Attribute","a little bit, little, few, minimal, scarce","2"
"abbreviate","abbreviate","G_01_040","<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_wkE95JCdTQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","5.444","1.528","0.669","27","0","5.250","1.545","0.566","12","0.00","1","1","2.286","2.088","-0.547","28","","0.301","Verb","467.00","1068.00","601.00","1802.00","","","","","","","","","Arbitrary","0","0","0","1","h","1","im","FullyOpen","0","0","0","Closed","0","DominanceViolation","Straight","Hand","FingerRadial","HandAway","1","DominanceConditionViolation","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","0.023","0.250","0.035","0.155","0.457","0.140","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.164","","","","","SHORT","368","1","368","1","short","SHORT","252","SHORT","SHORT","Attribute","brief, for a short time, quick, short, shortly","2"
